Date,Region,Product,Revenue,Units,Customers,Customer Retention,Average Order Value
2025-01-15,North America,Nexus Enterprise Suite,485000,97,85,94.2,5000
2025-01-15,North America,Nexus Cloud Analytics,240000,160,145,91.5,1500
2025-01-15,Europe,Nexus Enterprise Suite,360000,72,68,92.0,5000
2025-01-15,Europe,Nexus Cloud Analytics,180000,120,110,88.4,1500
2025-01-15,Asia-Pacific,Nexus Enterprise Suite,290000,58,52,90.1,5000
2025-01-15,Asia-Pacific,Nexus Cloud Analytics,150000,100,95,87.0,1500
2025-02-15,North America,Nexus Enterprise Suite,510000,102,89,94.8,5000
2025-02-15,North America,Nexus Cloud Analytics,255000,170,152,92.1,1500
2025-02-15,Europe,Nexus Enterprise Suite,375000,75,70,91.8,5000
2025-02-15,Europe,Nexus Cloud Analytics,195000,130,118,89.0,1500
2025-02-15,Asia-Pacific,Nexus Enterprise Suite,310000,62,56,90.5,5000
2025-02-15,Asia-Pacific,Nexus Cloud Analytics,165000,110,102,88.2,1500
2025-03-15,North America,Nexus Enterprise Suite,540000,108,94,95.1,5000
2025-03-15,North America,Nexus Cloud Analytics,270000,180,160,92.5,1500
2025-03-15,Europe,Nexus Enterprise Suite,390000,78,73,92.4,5000
2025-03-15,Europe,Nexus Cloud Analytics,210000,140,125,89.5,1500
2025-03-15,Asia-Pacific,Nexus Enterprise Suite,325000,65,59,91.0,5000
2025-03-15,Asia-Pacific,Nexus Cloud Analytics,180000,120,110,88.9,1500
2025-04-15,North America,Nexus Enterprise Suite,555000,111,96,94.7,5000
2025-04-15,North America,Nexus Cloud Analytics,285000,190,168,91.8,1500
2025-04-15,Europe,Nexus Enterprise Suite,385000,77,71,90.5,5000
2025-04-15,Europe,Nexus Cloud Analytics,205000,137,122,88.0,1500
2025-04-15,Asia-Pacific,Nexus Enterprise Suite,330000,66,60,90.2,5000
2025-04-15,Asia-Pacific,Nexus Cloud Analytics,185000,123,112,88.4,1500
2025-05-15,North America,Nexus Enterprise Suite,530000,106,92,93.2,5000
2025-05-15,North America,Nexus Cloud Analytics,275000,183,161,90.5,1500
2025-05-15,Europe,Nexus Enterprise Suite,350000,70,64,87.3,5000
